filename,width,height,class,xmin,ymin,xmax,ymax

dog-340_jpg.rf.cbfb1adf24a7073a6fc0f31db23095f2.jpg,320,320,dog,74,100,272,270
cat-3810_jpg.rf.cd3626a1cb7e9e27e03679c451b59c76.jpg,320,320,cat,20,44,303,278
cat-3700_jpg.rf.cc1cc6057974e7d9a70a4c3995cc7244.jpg,320,320,cat,5,32,284,234
dog-309_jpg.rf.cbf7c70f1add7fad0ca3be68a7da938b.jpg,320,320,dog,26,49,297,288
cat-3698_jpg.rf.ce06d589e6bb8c6b2fe817efe441aab4.jpg,320,320,cat,3,2,308,286
cat-3807_jpg.rf.cd06a275d7c6d9ab6980ae5932fd33ed.jpg,320,320,cat,70,16,224,256
dog-96_jpg.rf.cd7b981ce89d214e81c45a89d0640cce.jpg,320,320,dog,0,0,319,276
dog-64_jpg.rf.cd2e2f009154833087cd406cead7fccb.jpg,320,320,dog,10,30,314,312
cat-3939_jpg.rf.ce1e16317ca6ec5e04292e835c76c03e.jpg,320,320,cat,68,53,292,193
cat-3836_jpg.rf.ccabda55d1a83d92c0fd3277394aeeef.jpg,320,320,cat,6,11,320,303
dog-471_jpg.rf.cc1a74db089387bb2bdb4ce52f6a0f92.jpg,320,320,dog,37,27,275,319
cat-3605_jpg.rf.cc203475f6aedbaa94cdef111d832a25.jpg,320,320,dog,10,104,320,202
cat-3861_jpg.rf.cc5d5e23585caba856722037afce817a.jpg,320,320,cat,17,3,294,307
cat-3997_jpg.rf.ce273af0a6884db5dda3fdab3dcd9472.jpg,320,320,cat,0,0,319,314
cat-3654_jpg.rf.cbdf349a92e6d5e0f48c01e659f38e98.jpg,320,320,cat,48,35,290,292
dog-421_jpg.rf.ccf6c459ac1eefd3158d35ceb5f55ccc.jpg,320,320,dog,2,27,293,316
cat-3871_jpg.rf.cc81215809e11ce726ec458267c96b85.jpg,320,320,cat,12,19,290,197
cat-3871_jpg.rf.cc81215809e11ce726ec458267c96b85.jpg,320,320,cat,20,142,282,278
dog-152_jpg.rf.cde11c3e24fcf644c6e4b8ea44c537e6.jpg,320,320,dog,34,3,282,317
cat-3700_jpg.rf.ccb1a2d3f691def3a02a648fbfd746f9.jpg,320,320,cat,5,32,284,234
cat-3850_jpg.rf.cdd4ace6b46f003a4efd9aafb02b3f72.jpg,320,320,cat,5,10,319,320
cat-3532_jpg.rf.cdb5e311ae4150185a7bc1c6b34fdad3.jpg,320,320,cat,0,1,282,319
dog-200_jpg.rf.cbd176ea1c482fc364be6152688618db.jpg,320,320,dog,10,18,318,271
cat-3675_jpg.rf.cc59d72f47477fd2d878cc095d2bd623.jpg,320,320,cat,85,7,295,317
dog-356_jpg.rf.ce884a6503358be195aff4172cbbdd37.jpg,320,320,dog,97,40,219,310
